city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Berlin,DE,Clear,clear sky,01d,277.39,272.61,275.97,278.74,993,57,7.2,70,0,1648716871,1648701808,1648748256,7200,Tiergarten
Hamburg,DE,Mist,mist,50d,273.06,267.26,272.03,275.16,1005,95,6.69,70,75,1648716587,1648702561,1648749127,7200,Hamburg
Munich,DE,Clouds,overcast clouds,04d,281.92,280.6,279.67,283.21,984,83,2.39,46,100,1648716872,1648702458,1648748474,7200,Altstadt
Cologne,DE,Clouds,scattered clouds,03d,279.43,277.51,278.01,280.83,994,85,2.57,60,40,1648716872,1648703431,1648749717,7200,Altstadt Nord
Frankfurt,DE,Clouds,broken clouds,04d,279.34,276.7,278.37,281.72,998,75,3.6,30,75,1648716872,1648703059,1648749262,7200,Frankfurt am Main
Dusseldorf,DE,Clouds,broken clouds,04d,279.94,279.09,276.99,281.54,999,90,1.54,70,75,1648716873,1648703460,1648749776,7200,Düsseldorf
Stuttgart,DE,Clouds,broken clouds,04d,279.98,279.98,278.94,281.73,996,87,1.03,0,75,1648716873,1648703004,1648749079,7200,Stuttgart
Leipzig,DE,Clouds,broken clouds,04d,276.19,271.44,274.69,276.96,1000,85,6.26,70,75,1648716873,1648702111,1648748434,7200,Leipzig
Dortmund,DE,Drizzle,light intensity drizzle,09d,278.54,276.91,277.47,279.57,999,84,2.06,50,75,1648716874,1648703280,1648749625,7200,Dortmund
Essen,DE,Clouds,overcast clouds,04d,278.79,278.04,276.83,280.59,999,84,1.34,90,100,1648716874,1648703391,1648749730,7200,Essen
Bremen,DE,Clouds,overcast clouds,04d,274.45,269.27,273.03,275.04,1002,95,6.17,80,100,1648716874,1648702873,1648749386,7200,Bremen
Dresden,DE,Clouds,overcast clouds,04d,275.74,271.14,274.8,277.4,993,89,5.66,80,100,1648716875,1648701800,1648748093,7200,Dresden
Hannover,DE,Clouds,few clouds,02d,277.98,273.37,276.66,279.33,1001,72,7.2,100,20,1648716875,1648702689,1648749124,7200,Hanover
Nuremberg,DE,Clouds,broken clouds,04d,278.38,276.73,278.14,279.46,997,88,2.06,40,75,1648716875,1648702517,1648748654,7200,Nuremberg
Duisburg,DE,Clouds,broken clouds,04d,279.61,278.71,275.85,281.51,999,86,1.54,70,75,1648716876,1648703453,1648749790,7200,Ruhrort
Bochum,DE,Clouds,overcast clouds,04d,278.86,278.12,277.49,279.59,995,82,1.34,90,100,1648716779,1648703341,1648749683,7200,Bochum
Wuppertal,DE,Clouds,overcast clouds,04d,278.5,276.43,277.07,280.17,999,83,2.54,121,100,1648716815,1648703360,1648749680,7200,Wuppertal
Bielefeld,DE,Clouds,overcast clouds,04d,278.43,274.97,277.64,278.97,1000,68,4.73,117,100,1648716877,1648702997,1648749395,7200,Sudbrack
Bonn,DE,Clouds,scattered clouds,03d,279.16,277.19,278.34,280.29,997,82,2.57,60,40,1648716877,1648703407,1648749673,7200,Bonn
Munster,DE,Clouds,broken clouds,04d,278.45,277.39,278.03,279.44,999,91,1.54,70,75,1648716877,1648703218,1648749610,7200,Münster
Mannheim,DE,Clouds,broken clouds,04d,279.68,279.68,278.68,281.09,997,81,1.03,0,75,1648716878,1648703141,1648749283,7200,Mannheim
Karlsruhe,DE,Clouds,overcast clouds,04d,278.87,278.87,278.57,280.31,996,93,0.45,71,100,1648716878,1648703179,1648749277,7200,Karlsruhe
Augsburg,DE,Mist,mist,50d,279.7,278.27,277.47,282.29,995,94,2.06,50,100,1648716878,1648702610,1648748647,7200,Augsburg
Wiesbaden,DE,Clouds,overcast clouds,04d,279.54,276.94,278.27,281.62,998,74,3.6,80,100,1648716878,1648703166,1648749366,7200,Wiesbaden
Gelsenkirchen,DE,Clouds,overcast clouds,04d,279.16,278.46,277.75,280.86,994,82,1.34,90,100,1648716879,1648703367,1648749713,7200,Schalke
Monchengladbach,DE,Mist,mist,50d,279.1,278.13,275.61,281.27,999,91,1.54,290,100,1648716683,1648703543,1648749856,7200,Mönchengladbach
Aachen,DE,Clouds,overcast clouds,04d,277.65,277.65,275.18,279.16,996,94,0.89,355,100,1648716879,1648703649,1648749919,7200,Aachen
Braunschweig,DE,Clouds,overcast clouds,04d,276.96,273.19,276.0,279.14,999,60,4.63,90,100,1648716880,1648702507,1648748930,7200,Braunschweig
Kiel,DE,Snow,light snow,13d,274.73,268.79,274.16,276.09,1007,69,8.23,90,40,1648716880,1648702482,1648749139,7200,Kiel
Chemnitz,DE,Clouds,overcast clouds,04d,274.95,272.52,274.35,277.39,1000,91,2.24,51,100,1648716662,1648702008,1648748280,7200,Chemnitz
Halle,DE,Clouds,broken clouds,04d,276.47,271.84,274.58,277.05,1000,83,6.17,70,75,1648716881,1648702202,1648748541,7200,Halle
Magdeburg,DE,Clouds,overcast clouds,04d,278.68,274.99,278.68,278.68,994,58,5.36,12,100,1648716881,1648702247,1648748654,7200,Neue Neustadt
Freiburg im Breisgau,DE,Rain,light rain,10d,281.86,281.86,280.3,284.62,994,94,0.89,269,100,1648716882,1648703357,1648749362,7200,Freiburg
Krefeld,DE,Mist,mist,50d,279.5,277.87,275.06,281.47,1000,91,2.24,45,100,1648716882,1648703504,1648749831,7200,Krefeld
Mainz,DE,Clouds,overcast clouds,04d,279.74,277.19,278.58,281.81,996,74,3.6,80,100,1648716882,1648703164,1648749356,7200,Mainz
Lubeck,DE,Clouds,few clouds,02d,275.0,269.53,273.29,276.53,1006,71,7.2,70,20,1648716883,1648702378,1648748980,7200,Lübeck
Erfurt,DE,Clouds,overcast clouds,04d,276.22,272.56,275.06,277.46,999,87,4.12,60,100,1648716883,1648702453,1648748741,7200,Erfurt
Oberhausen,DE,Clouds,overcast clouds,04d,279.43,279.43,276.93,281.51,1001,91,0.45,270,100,1648716883,1648703429,1648749770,7200,Oberhausen
Rostock,DE,Clouds,overcast clouds,04d,277.09,271.64,275.27,278.09,1008,42,8.95,89,100,1648716884,1648702019,1648748645,7200,Rostock
Kassel,DE,Clouds,overcast clouds,04d,277.83,273.37,276.97,278.12,999,75,6.69,110,100,1648716884,1648702803,1648749126,7200,Kassel
Hagen,DE,Clouds,overcast clouds,04d,278.53,277.75,277.36,279.46,997,89,1.34,61,100,1648716884,1648703285,1648749614,7200,Hagen
Potsdam,DE,Clouds,overcast clouds,04d,277.38,274.05,275.85,278.77,1004,65,4.02,72,100,1648716885,1648701890,1648748326,7200,Potsdam
Saarbrucken,DE,Rain,light rain,10d,279.16,276.81,278.4,279.79,986,93,3.09,80,100,1648716654,1648703504,1648749623,7200,Saarbrücken
Hamm,DE,Clouds,overcast clouds,04d,278.8,275.82,278.16,279.6,1000,83,3.97,105,100,1648716885,1648703188,1648749548,7200,Kreisfreie Stadt Hamm
Ludwigshafen,DE,Clouds,broken clouds,04d,279.79,279.79,278.74,281.16,997,81,1.03,0,75,1648716885,1648703148,1648749290,7200,Ludwigshafen am Rhein
Mulheim,DE,Clouds,broken clouds,04d,279.46,278.54,276.86,281.44,1000,87,1.54,70,75,1648716886,1648703424,1648749760,7200,Mülheim
Oldenburg,DE,Clouds,overcast clouds,04d,273.89,271.28,273.1,275.11,1003,96,2.24,53,100,1648716886,1648703012,1648749533,7200,Oldenburg
Osnabruck,DE,Clouds,overcast clouds,04d,278.56,275.35,276.29,279.33,1001,79,4.3,116,100,1648716886,1648703101,1648749526,7200,Osnabrück
Leverkusen,DE,Clouds,overcast clouds,04d,279.47,277.7,278.07,280.89,999,86,2.39,99,100,1648716887,1648703420,1648749716,7200,Leverkusen
Solingen,DE,Clouds,overcast clouds,04d,278.32,276.2,277.01,279.83,999,89,2.56,116,100,1648716887,1648703389,1648749698,7200,Stöcken
Darmstadt,DE,Clouds,broken clouds,04d,279.55,276.96,278.2,281.43,999,74,3.6,30,75,1648716887,1648703079,1648749257,7200,Darmstadt
Heidelberg,DE,Clouds,broken clouds,04d,279.29,279.29,278.58,280.99,997,82,1.03,0,75,1648716888,1648703086,1648749221,7200,Heidelberg
Herne,DE,Clouds,overcast clouds,04d,279.03,276.77,277.7,279.79,993,82,2.92,106,100,1648716781,1648703337,1648749685,7200,Herne
Neuss,DE,Clouds,broken clouds,04d,279.84,278.98,278.12,281.49,995,90,1.54,70,75,1648716888,1648703481,1648749794,7200,Neuss
Regensburg,DE,Clouds,overcast clouds,04d,279.87,278.73,277.75,281.12,996,87,1.79,45,100,1648716889,1648702296,1648748392,7200,Regensburg
Paderborn,DE,Clouds,overcast clouds,04d,277.93,275.33,276.69,278.59,1000,78,3.09,110,100,1648716889,1648702957,1648749323,7200,Paderborn
Ingolstadt,DE,Mist,mist,50d,280.17,279.35,279.0,280.89,995,87,1.54,60,100,1648716889,1648702465,1648748538,7200,Ingolstadt
Furth,DE,Clouds,broken clouds,04d,278.5,276.87,278.17,279.16,997,88,2.06,40,75,1648716890,1648702536,1648748676,7200,Fürth
Wurzburg,DE,Clouds,overcast clouds,04d,279.02,276.13,277.78,279.42,998,86,3.9,67,100,1648716890,1648702775,1648748946,7200,Wurzburg
Heilbronn,DE,Clouds,overcast clouds,04d,280.91,279.44,279.68,282.33,997,82,2.34,53,100,1648716890,1648702977,1648749086,7200,Heilbronn
Ulm,DE,Clouds,overcast clouds,04d,280.09,278.64,277.5,281.48,996,94,2.15,76,100,1648716601,1648702826,1648748866,7200,Ulm
Pforzheim,DE,Clouds,overcast clouds,04d,277.89,276.28,277.48,280.58,997,94,1.94,50,100,1648716891,1648703111,1648749198,7200,Alter Göbricherweg
Wolfsburg,DE,Clouds,overcast clouds,04d,277.27,273.57,276.07,278.12,1002,68,4.63,90,100,1648716891,1648702435,1648748875,7200,Wolfsburg
Gottingen,DE,Clouds,overcast clouds,04d,277.52,273.53,276.69,278.74,1001,80,5.35,100,100,1648716892,1648702687,1648749032,7200,Göttingen
Bottrop,DE,Clouds,overcast clouds,04d,279.06,279.06,276.83,281.4,1001,93,0.45,270,100,1648716892,1648703409,1648749755,7200,Bottrop
Reutlingen,DE,Clouds,overcast clouds,04d,279.09,279.09,277.91,280.23,994,90,0.98,2,100,1648716893,1648703008,1648749056,7200,Reutlingen
Koblenz,DE,Clouds,overcast clouds,04d,279.06,277.49,277.36,280.57,998,85,2.09,98,100,1648716893,1648703307,1648749534,7200,Lützel
Bremerhaven,DE,Snow,snow,13d,272.8,265.8,272.27,274.96,1004,98,10.05,75,100,1648716633,1648702901,1648749467,7200,Bremerhaven
Recklinghausen,DE,Clouds,overcast clouds,04d,278.67,278.67,276.95,279.71,998,86,0.89,90,100,1648716600,1648703338,1648749694,7200,Recklinghausen
Erlangen,DE,Clouds,broken clouds,04d,278.51,276.88,277.45,279.21,997,88,2.06,40,75,1648716894,1648702527,1648748679,7200,Erlangen
Bergisch Gladbach,DE,Clouds,scattered clouds,03d,279.05,277.06,278.2,280.54,997,84,2.57,60,40,1648716894,1648703385,1648749677,7200,Bergisch Gladbach
Remscheid,DE,Clouds,overcast clouds,04d,277.39,275.18,275.89,279.0,999,83,2.47,117,100,1648716894,1648703364,1648749674,7200,Remscheid
Jena,DE,Clouds,overcast clouds,04d,276.45,276.45,275.5,277.28,976,90,0.89,24,100,1648716895,1648702322,1648748604,7200,Jena
Trier,DE,Rain,light rain,10d,279.57,278.36,278.43,280.56,998,76,1.81,60,100,1648716794,1648703566,1648749735,7200,Trier
Moers,DE,Clouds,overcast clouds,04d,279.33,278.08,274.87,281.58,999,88,1.82,54,100,1648716895,1648703485,1648749825,7200,Moers
Salzgitter,DE,Clouds,overcast clouds,04d,276.81,273.95,275.87,279.61,1002,60,3.13,267,100,1648716896,1648702553,1648748963,7200,Lebenstedt
Siegen,DE,Clouds,overcast clouds,04d,277.43,274.37,276.26,278.89,997,82,3.6,70,100,1648716896,1648703180,1648749459,7200,Siegen
Hildesheim,DE,Clouds,overcast clouds,04d,278.2,274.02,275.9,279.64,1002,64,6.23,98,100,1648716896,1648702651,1648749061,7200,Hildesheim
Gutersloh,DE,Clouds,overcast clouds,04d,278.65,275.15,277.92,279.25,1000,69,4.91,117,100,1648716897,1648703039,1648749424,7200,Gütersloh
Kaiserslautern,DE,Clouds,overcast clouds,04d,279.2,276.53,277.36,280.07,995,91,3.6,30,100,1648716897,1648703310,1648749449,7200,Kaiserslautern
Schwerin,DE,Clouds,overcast clouds,04d,276.5,272.46,273.95,276.58,1003,62,4.92,113,100,1648716897,1648702217,1648748791,7200,Schelfstadt
Ludwigsburg,DE,Clouds,overcast clouds,04d,279.66,278.06,278.66,280.99,996,85,2.24,0,100,1648716898,1648702995,1648749081,7200,Ludwigsburg
Esslingen,DE,Clouds,broken clouds,04d,280.11,280.11,278.97,281.77,996,87,1.03,0,75,1648716898,1648702973,1648749045,7200,Esslingen am Neckar
Gladbeck,DE,Clouds,overcast clouds,04d,278.82,275.82,276.79,281.37,999,86,4.02,0,100,1648716898,1648703392,1648749744,7200,Gladbeck
Hilden,DE,Clouds,broken clouds,04d,279.37,278.44,278.03,280.85,999,87,1.54,70,75,1648716899,1648703423,1648749733,7200,Hilden
Cottbus,DE,Clouds,overcast clouds,04d,274.42,269.4,274.22,277.49,1003,77,5.81,50,100,1648716899,1648701621,1648747987,7200,Cottbus
Witten,DE,Clouds,overcast clouds,04d,278.77,276.74,277.5,279.6,995,82,2.56,105,100,1648716697,1648703316,1648749652,7200,Witten
Hanau,DE,Clouds,overcast clouds,04d,279.6,279.6,278.38,281.73,999,61,0.45,38,100,1648716900,1648703002,1648749206,7200,Hanau
Gera,DE,Clouds,overcast clouds,04d,275.65,271.03,275.03,276.96,996,88,5.66,63,100,1648716900,1648702206,1648748483,7200,Gera
Iserlohn,DE,Drizzle,light intensity drizzle,09d,277.59,275.8,276.85,278.44,999,91,2.06,50,75,1648716900,1648703238,1648749569,7200,Iserlohnerheide
Duren,DE,Clouds,overcast clouds,04d,278.56,277.51,277.01,280.22,997,91,1.54,70,100,1648716833,1648703552,1648749824,7200,Düren
Flensburg,DE,Clouds,overcast clouds,04d,275.75,270.12,274.34,276.12,1008,56,8.23,80,100,1648716901,1648702623,1648749335,7200,Flensburg
Tubingen,DE,Clouds,overcast clouds,04d,279.65,279.65,278.4,280.72,996,90,1.21,11,100,1648716901,1648703045,1648749097,7200,Tübingen
